Data :: 
 [2.23255400e+02 1.30171105e+01]
 [2.23308660e+02 1.29809701e+01]
 [2.23361930e+02 8.94501968e+00]
 [2.23415180e+02 8.90928283e+00]
 [2.23468440e+02 1.18737427e+01]
 [2.23521690e+02 6.83841621e+00]
 [2.23574930e+02 6.80330653e+00]
 [2.23628170e+02 8.76841053e+00]
 [2.23681410e+02 8.73373168e+00]
 [2.23734640e+02 8.69927992e+00]
 [2.23787870e+02 1.26650522e+01]
 [2.23841100e+02 6.63105218e+00]
 [2.23894310e+02 8.59729593e+00]
 [2.23947530e+02 9.56376795e+00]
 [2.24000740e+02 7.53048443e+00]
 [2.24053950e+02 5.49744266e+00]
 [2.24107150e+02 7.46465239e+00]
 [2.24160350e+02 4.43211103e+00]
 [2.24213540e+02 1.03998283e+01]
 [2.24266730e+02 1.23678017e+01]
 [2.24319910e+02 7.33604088e+00]
 [2.24373090e+02 8.30454352e+00]
 [2.24426270e+02 1.32733133e+01]
 [2.24479440e+02 1.12423599e+01]
 [2.24532610e+02 1.22116810e+01]
 [2.24585770e+02 1.71812862e+01]
 [2.24638930e+02 1.71511734e+01]
 [2.24692080e+02 2.01213521e+01]
 [2.24745230e+02 1.40918204e+01]
 [2.24798370e+02 2.20625876e+01]
 [2.24851510e+02 2.40336520e+01]
 [2.24904650e+02 2.10050175e+01]
 [2.24957780e+02 2.79766933e+01]
 [2.25010910e+02 2.29486779e+01]
 [2.25064030e+02 2.19209804e+01]
 [2.25117150e+02 2.08935995e+01]
 [2.25170270e+02 2.68665392e+01]
 [2.25223380e+02 2.58398084e+01]
 [2.25276480e+02 2.48134110e+01]
 [2.25329580e+02 2.07873459e+01]
 [2.25382680e+02 1.57616171e+01]
 [2.25435770e+02 1.67362336e+01]
 [2.25488860e+02 1.67111944e+01]
 [2.25541940e+02 2.46865084e+01]
 [2.25595020e+02 2.16621748e+01]
 [2.25648100e+02 1.06381978e+01]
 [2.25701170e+02 1.16145859e+01]
 [2.25754230e+02 1.05913432e+01]
 [2.25807300e+02 8.56846505e+00]
 [2.25860350e+02 2.05459684e+01]
 [2.25913410e+02 1.95238448e+01]
 [2.25966460e+02 1.95021067e+01]
 [2.26019500e+02 2.54807581e+01]
 [2.26072540e+02 3.24597993e+01]
 [2.26125570e+02 2.94392383e+01]
 [2.26178610e+02 1.84190717e+01]
 [2.26231630e+02 1.83993150e+01]
 [2.26284650e+02 1.53799651e+01]
 [2.26337670e+02 1.93610261e+01]
 [2.26390690e+02 1.03425025e+01]
 [2.26443690e+02 1.53244055e+01]
 [2.26496700e+02 1.43067290e+01]
 [2.26549700e+02 8.28948418e+00]
